"tenant_code","organization_code","organization_id"
"default","default_code",1
"TEST_DOMAIN","default",2
"TEST","default",3
"shikshagraha","default_code",7
"shikshagraha","blr",8
"shikshagraha","mys",9
"shikshalokam","default_code",10
"shikshalokam","sl",11
"shikshagraha","testorg-23412",14
"shikshagraha","pdy",16
"shikshagraha","ariba",17
"shikshagraha","aribaraj",18
"shikshagraha","dhalai",19
"shikshagraha","dhl",20
"shikshagraha","dh",21
"shikshagraha","meghana",26
"shikshagraha","test_org",29
"shikshalokam","slorg",31
"shikshalokam","twp",32
"shikshalokam","tan90",33
"shikshalokam","sot",34
"shikshagrahanew","default_code",35
"shikshagrahanew","shikshagraha",36
"shikshagraha","tripura",37
"shikshagraha","karnataka",38
"shikshagrahanew","tripura",39
"shikshagraha","test",40
"shikshagrahanew","karnataka",41
"dummy","default_code",42
"dummy1","default_code",43
"TWP","default_code",44
"siddhi","default_code",45
"dummy1","test",46
"TEST","dummy",47
"dummy","dummy",48
"TWP","twpdemoorg",49
"TWP","twptestorg",50
"shikshalokam","trc",51
"Test","default_code",52
"shikshalokam","meghanaone",53
"shikshalokam","ncte",54
"shikshalokam","gxs",55
"shikshalokam","gxsold",56
"shikshalokam","gxsnew",57
"shikshalokam","brac",58
"shikshalokam","ola",59
"shikshalokam","mentor11345",60
"shikshalokam","mentor113456",61
"shikshalokam","biocon",62
"shikshalokam","bio100",64
"shikshalokam","shikshalokamorg",65
"shikshalokam","cws",66
"shikshalokam","cwswl",67
"shikshalokam","cwslife",68
"shikshalokam","wildlife",69
"shikshalokam","wild",70


